Date,Revenue,COGS
2023-01-01,2338580.82,2291809.2
2023-01-02,1800203.41,1603098.4
2023-01-03,1430224.87,1213037.4
2023-01-04,919307.13,772234.93
2023-01-05,1103758.54,950543.45
2023-01-06,1127861.12,961574.93
2023-01-07,1299425.21,1109383.23
2023-01-08,1610985.96,1371684.35
2023-01-09,1927908.22,1615180.73
2023-01-10,1839554.28,1545366.09
2023-01-11,1825761.0,1493519.21
2023-01-12,1651818.98,1376528.73
2023-01-13,1584898.39,1300411.37
2023-01-14,1563927.61,1308310.72
2023-01-15,1790719.89,1471107.24
2023-01-16,2000913.37,1610488.84
2023-01-17,2107532.32,1712518.22
2023-01-18,1866904.45,1491941.32
2023-01-19,1758124.8,1458577.26
2023-01-20,1685828.22,1338588.96
2023-01-21,1634452.51,1272059.72
2023-01-22,1803943.56,1452284.56
2023-01-23,1951930.82,1600122.91
2023-01-24,2088759.5,1702053.14
2023-01-25,2042691.09,1679039.1
2023-01-26,2050725.99,1635286.13
2023-01-27,2163810.7,1677851.93
2023-01-28,2806253.2,2210024.97
2023-01-29,2979512.46,2387319.23
2023-01-30,3033375.23,2462507.16
2023-01-31,3036494.9,2479508.5
2023-02-01,2751518.71,2254668.03
2023-02-02,1826077.49,1468435.72
2023-02-03,1339861.55,1134501.66
2023-02-04,1178107.1,928701.04
2023-02-05,1349198.64,1097732.52
2023-02-06,1470896.06,1166982.43
2023-02-07,1798545.31,1440262.06
2023-02-08,1703692.36,1442715.9
2023-02-09,1851759.35,1548152.57
2023-02-10,1924683.33,1637692.56
2023-02-11,1950178.6,1633354.39
2023-02-12,2184600.96,1863987.41
2023-02-13,2566066.51,2112103.15
2023-02-14,2677603.76,2289997.76
2023-02-15,2730200.69,2283737.52
2023-02-16,2404443.58,2111777.64
2023-02-17,2346056.58,1951949.86
2023-02-18,2412973.12,2017566.24
2023-02-19,2968692.57,2424853.68
2023-02-20,3142872.62,2606729.75
2023-02-21,3329632.67,2793341.94
2023-02-22,3315896.62,2794072.11
2023-02-23,3239393.4,2683614.5
2023-02-24,3006962.34,2544142.45
2023-02-25,3175415.84,2656535.48
2023-02-26,3914808.52,3292092.2
2023-02-27,4725745.63,4068882.66
2023-02-28,4851049.72,4073444.46
2023-03-01,4036647.48,3423967.86
2023-03-02,2314155.41,1924558.97
2023-03-03,1422678.46,1200316.02
2023-03-04,1310788.36,1076000.92
2023-03-05,1853375.61,1554858.46
2023-03-06,2445856.42,2043799.48
2023-03-07,2977343.97,2502292.08
2023-03-08,3234136.4,2586667.92
2023-03-09,3143767.38,2597388.76
2023-03-10,2886615.24,2362148.73
2023-03-11,3220666.34,2672905.43
2023-03-12,3748620.94,3140827.14
2023-03-13,4017033.38,3361116.56
2023-03-14,4435090.17,3696024.71
2023-03-15,4487767.82,3677347.13
2023-03-16,4360819.05,3681474.75
2023-03-17,3893201.05,3206738.31
2023-03-18,4281429.11,3596091.42
2023-03-19,3926270.81,3308530.67
2023-03-20,4218635.67,3650328.33
2023-03-21,4063506.01,3581366.55
2023-03-22,4709996.78,4339618.17
2023-03-23,4651715.69,4192759.31
2023-03-24,3909260.96,3578009.67
2023-03-25,4084383.39,3728095.79
2023-03-26,4283777.56,3926492.61
2023-03-27,4868902.6,4605597.34
2023-03-28,5065993.21,4715593.14
2023-03-29,5464966.0,5125308.17
2023-03-30,7442390.38,6997500.53
2023-03-31,7343771.82,6971887.78
2023-04-01,6826731.11,6364168.24
2023-04-02,6293867.6,5886902.95
2023-04-03,5797494.51,5460398.99
2023-04-04,1952673.88,1822144.08
2023-04-05,2470311.82,2314294.87
2023-04-06,2393665.47,2218729.18
