Date,Revenue,COGS
2023-01-01,2548774.04,2274609.68
2023-01-02,2030777.42,1877416.94
2023-01-03,1367613.12,1151722.92
2023-01-04,1380531.64,1056622.14
2023-01-05,1247628.12,1014603.9
2023-01-06,1192392.5,1025315.32
2023-01-07,1279661.41,1095004.41
2023-01-08,1631167.99,1417257.9
2023-01-09,1852079.5,1559551.44
2023-01-10,2000289.85,1603456.13
2023-01-11,1943771.56,1550618.34
2023-01-12,1851664.81,1492003.79
2023-01-13,1557809.97,1316664.9
2023-01-14,1570583.53,1358553.32
2023-01-15,1848669.43,1629696.89
2023-01-16,2112548.29,1824450.68
2023-01-17,2108889.37,1743258.96
2023-01-18,2163942.3,1734722.42
2023-01-19,2093104.25,1687234.93
2023-01-20,1760195.89,1449103.45
2023-01-21,1815714.81,1505876.97
2023-01-22,2132104.44,1728016.37
2023-01-23,2385636.83,1879755.72
2023-01-24,2460927.05,1887589.0
2023-01-25,2675930.46,1974006.65
2023-01-26,2556620.1,1922075.5
2023-01-27,2336144.46,1815327.79
2023-01-28,2997939.35,2425116.38
2023-01-29,3743219.55,3039119.81
2023-01-30,4170409.35,3264923.68
2023-01-31,4050815.02,2993060.37
2023-02-01,3859287.43,2942213.55
2023-02-02,3004342.57,2217985.89
2023-02-03,2116328.29,1438672.91
2023-02-04,1768177.72,1203225.75
2023-02-05,1859367.26,1359703.03
2023-02-06,2007798.98,1522941.94
2023-02-07,2267359.24,1633710.83
2023-02-08,2396261.49,1821835.26
2023-02-09,2320731.3,1792456.17
2023-02-10,2148806.32,1669702.08
2023-02-11,2218546.2,1732624.44
2023-02-12,2596980.75,2051555.71
2023-02-13,2871325.78,2361431.58
2023-02-14,3220940.33,2522842.59
2023-02-15,3396269.18,2630799.29
2023-02-16,3463974.02,2629928.12
2023-02-17,3027259.21,2287084.42
2023-02-18,2880994.49,2158306.63
2023-02-19,3257399.61,2612921.1
2023-02-20,3889080.64,3164530.37
2023-02-21,4043076.14,3228967.1
2023-02-22,4093873.46,3391569.33
2023-02-23,3871171.73,3108539.56
2023-02-24,3651037.0,2862341.0
2023-02-25,3770875.95,3016106.98
2023-02-26,4857814.73,3940012.43
2023-02-27,5684918.45,4688184.92
2023-02-28,5972167.35,4932736.91
2023-03-01,5494110.2,4393689.68
2023-03-02,4036135.1,3642362.25
2023-03-03,2566320.98,2358982.97
2023-03-04,2266314.43,1927732.53
2023-03-05,2672467.85,2182795.19
2023-03-06,3173550.56,2549159.74
2023-03-07,3857838.19,3105699.64
2023-03-08,4448330.1,3624323.96
2023-03-09,4134024.49,3545802.64
2023-03-10,3619629.13,3119380.76
2023-03-11,3579268.85,3157447.9
2023-03-12,4002871.76,3455390.66
2023-03-13,4599009.35,3923320.4
2023-03-14,5301723.78,4423459.61
2023-03-15,5729274.02,4708218.07
2023-03-16,5015316.93,4159776.88
2023-03-17,4252995.95,3634158.93
2023-03-18,3892510.88,3561031.72
2023-03-19,4245953.71,3822001.03
2023-03-20,4913872.37,4299005.81
2023-03-21,5491742.88,4653726.65
2023-03-22,5947190.63,5427892.54
2023-03-23,5703037.64,5097486.98
2023-03-24,4818501.86,4232739.62
2023-03-25,4696354.24,4118977.25
2023-03-26,5218508.47,4512986.88
2023-03-27,6015554.5,5305350.03
2023-03-28,6789487.21,6059894.3
2023-03-29,7238456.49,6418749.2
2023-03-30,10713991.67,9817755.1
2023-03-31,8861262.9,8049773.31
2023-04-01,8305175.78,7170129.72
2023-04-02,7746763.26,6729762.95
2023-04-03,7290158.79,6788973.15
