Date,Revenue,COGS
2023-01-01,2249682.33,2087802.89
2023-01-02,1763173.05,1745541.3195
2023-01-03,1195319.7,1027893.66
2023-01-04,1255312.06,962904.49
2023-01-05,1222630.1,991611.29
2023-01-06,1296341.08,1036854.1
2023-01-07,1386677.05,1142015.43
2023-01-08,1673075.34,1383164.79
2023-01-09,1856104.85,1525649.15
2023-01-10,1887945.16,1457251.47
2023-01-11,1828658.38,1414363.09
2023-01-12,1807430.45,1410490.94
2023-01-13,1611272.68,1302910.77
2023-01-14,1594982.16,1351794.99
2023-01-15,1804899.72,1585949.64
2023-01-16,2029489.87,1779169.36
2023-01-17,1953670.83,1659698.1
2023-01-18,2003229.71,1635481.49
2023-01-19,1990462.68,1631543.03
2023-01-20,1765324.68,1434197.2
2023-01-21,1803405.07,1515036.3
2023-01-22,2053538.13,1689906.94
2023-01-23,2269196.06,1794831.8
2023-01-24,2240158.45,1744806.53
2023-01-25,2454976.46,1809384.64
2023-01-26,2354200.07,1810485.54
2023-01-27,2253711.24,1780971.04
2023-01-28,2995688.26,2495817.8
2023-01-29,3659666.24,3054881.72
2023-01-30,4053422.21,3161995.71
2023-01-31,3878675.18,2796777.7
2023-02-01,3594250.82,2774277.41
2023-02-02,2895757.5,2097393.64
2023-02-03,2240174.83,1401229.9
2023-02-04,1906683.33,1249936.54
2023-02-05,1921778.0,1356259.38
2023-02-06,2016687.63,1488856.81
2023-02-07,2222281.93,1540957.6
2023-02-08,2300171.62,1720164.06
2023-02-09,2263157.03,1754066.91
2023-02-10,2245850.69,1724681.02
2023-02-11,2324628.16,1793944.84
2023-02-12,2621044.0,2034408.21
2023-02-13,2835128.13,2304727.16
2023-02-14,3151646.12,2421012.53
2023-02-15,3314389.91,2584018.3
2023-02-16,3457680.03,2615440.99
2023-02-17,3108346.41,2342111.62
2023-02-18,2926773.62,2178456.65
2023-02-19,3299083.2,2630202.89
2023-02-20,3945924.86,3233862.19
2023-02-21,3983175.5,3214568.33
2023-02-22,3929076.48,3368686.33
2023-02-23,3712829.28,3039933.34
2023-02-24,3616357.24,2844129.25
2023-02-25,3774508.82,3065734.93
2023-02-26,4792697.16,3889742.46
2023-02-27,5612336.09,4640439.28
2023-02-28,5779833.92,4708018.46
2023-03-01,5264751.41,4187023.18
2023-03-02,3604293.44,3482509.47
2023-03-03,2365420.71,2285548.04
2023-03-04,2241111.21,1909679.69
2023-03-05,2702364.13,2139403.63
2023-03-06,3236232.51,2537305.47
2023-03-07,3892983.83,3014780.64
2023-03-08,4530996.04,3576758.13
2023-03-09,4104770.8,3519699.76
2023-03-10,3619665.84,3067024.78
2023-03-11,3605930.57,3138892.34
2023-03-12,4006748.36,3445194.66
2023-03-13,4646100.45,3953058.67
2023-03-14,5338485.63,4463021.5
2023-03-15,5819340.03,4731305.56
2023-03-16,4928453.48,4105734.38
2023-03-17,3994268.98,3534189.1
2023-03-18,3557777.59,3446297.67
2023-03-19,3960705.31,3730829.47
2023-03-20,4743977.41,4314685.48
2023-03-21,5334111.09,4644971.88
2023-03-22,5748125.91,5377017.29
2023-03-23,5372074.62,4914892.32
2023-03-24,4259529.48,3911488.29
2023-03-25,4155396.14,3816211.46
2023-03-26,4799859.98,4414554.53
2023-03-27,5701373.86,5292452.45
2023-03-28,6510109.36,5765402.77
2023-03-29,7022437.9,6239721.56
2023-03-30,10900560.95,9819296.56
2023-03-31,8533810.7,7688976.61
2023-04-01,7903737.16,6679133.1
2023-04-02,7521804.33,6540746.36
2023-04-03,7225047.31,6808360.95
2023-04-04,3076812.14,2715816.43
2023-04-05,3609459.23,3274446.59
2023-04-06,3352916.48,3105103.19
2023-04-07,2919565.71,2592858.75
2023-04-08,3177153.28,2753549.76
2023-04-09,4097668.82,3415284.93
2023-04-10,5086376.03,4022203.63
2023-04-11,5288846.13,4107862.04
2023-04-12,5563842.1,4219744.62
2023-04-13,5425584.79,4131985.47
2023-04-14,4847412.51,3674268.26
2023-04-15,4795527.58,3742765.47
2023-04-16,5387817.65,4226282.89
2023-04-17,6086010.37,4610116.07
2023-04-18,6273189.41,4569730.19
2023-04-19,6988877.87,5118129.33
2023-04-20,6131661.63,4489665.01
2023-04-21,4522992.22,3404731.44
2023-04-22,4841974.36,3699035.86
2023-04-23,5560186.64,4322096.16
2023-04-24,6671681.8,5350302.28
2023-04-25,7126835.2,5389971.45
2023-04-26,7944106.52,6188054.77
2023-04-27,7775784.77,5777183.16
2023-04-28,6454366.05,5154068.37
2023-04-29,7175394.7,5859322.38
2023-04-30,7782018.7,6976455.95
2023-05-01,7325109.98,7050235.52
2023-05-02,6097802.67,5780027.14
2023-05-03,6240923.91,5968958.15
2023-05-04,2842429.48,2814005.1852
2023-05-05,2684146.88,2657305.4112
2023-05-06,2580997.3,2555187.3269999996
2023-05-07,3058781.79,3028193.9721
2023-05-08,3094807.72,2960597.34
2023-05-09,3555835.06,3266889.63
2023-05-10,4476399.45,3856567.82
2023-05-11,4393041.51,3930672.93
2023-05-12,4154532.15,3670997.85
2023-05-13,3946008.67,3392964.27
2023-05-14,4242819.45,3732912.95
