Date,Revenue,COGS
2023-01-01,3160207.44,3128605.3656
2023-01-02,1925196.44,1905944.4756
2023-01-03,1309585.24,1232108.86
2023-01-04,1489919.49,1399302.81
2023-01-05,1197858.95,1104222.53
2023-01-06,1518935.06,1391924.99
2023-01-07,1862235.92,1702893.12
2023-01-08,2060707.74,1890327.12
2023-01-09,2092255.4,1931469.98
2023-01-10,2222089.12,1931276.66
2023-01-11,1862990.23,1666202.59
2023-01-12,1605865.23,1409356.46
2023-01-13,1671872.26,1460074.38
2023-01-14,1941572.34,1737482.55
2023-01-15,2130521.19,1955527.63
2023-01-16,1997386.63,1791766.59
2023-01-17,1890123.45,1664555.49
2023-01-18,2070848.62,1912971.34
2023-01-19,1751568.99,1566298.76
2023-01-20,1726904.47,1494532.34
2023-01-21,2075224.52,1804506.05
2023-01-22,2186504.11,1956502.71
2023-01-23,1966213.92,1763040.42
2023-01-24,2244995.15,1942148.02
2023-01-25,2479519.32,2187410.08
2023-01-26,2008638.39,1761645.31
2023-01-27,2387288.69,2116396.7
2023-01-28,3617249.62,3285600.26
2023-01-29,4268500.17,3888137.87
2023-01-30,3530320.9,3198154.39
2023-01-31,3437878.98,3092970.14
2023-02-01,3854952.55,3314817.01
2023-02-02,2416714.02,2032238.0
2023-02-03,1546139.32,1329907.89
2023-02-04,1771372.75,1512867.49
2023-02-05,1851616.34,1554711.75
2023-02-06,1908613.15,1619080.98
2023-02-07,2428348.43,2036535.21
2023-02-08,2600402.73,2145986.98
2023-02-09,1959296.43,1631742.4
2023-02-10,1832352.36,1479458.96
2023-02-11,2319517.28,1886284.18
2023-02-12,2670572.46,2231816.78
2023-02-13,2630918.91,2236109.61
2023-02-14,3013450.61,2499447.64
2023-02-15,3365790.14,2793907.45
2023-02-16,2764461.4,2324666.3
2023-02-17,2374566.4,1996136.43
2023-02-18,2634050.41,2259967.61
2023-02-19,3097750.32,2701745.61
2023-02-20,3410468.68,2974105.98
2023-02-21,3819711.62,3266213.87
2023-02-22,3933042.65,3403172.75
2023-02-23,3057356.62,2653089.76
2023-02-24,2895321.79,2482875.73
2023-02-25,4453678.11,3775563.92
2023-02-26,6023322.07,5152134.11
2023-02-27,5776166.53,5138216.66
2023-02-28,5904946.18,5034732.53
2023-03-01,5632016.57,4957191.65
2023-03-02,4192294.56,3573157.34
2023-03-03,2043100.88,1707636.65
2023-03-04,2476178.69,2147338.71
2023-03-05,3141279.92,2669146.61
2023-03-06,3476794.45,2971018.71
2023-03-07,4068776.61,3571067.43
2023-03-08,4598374.0,3959679.08
2023-03-09,4261054.85,3554416.66
2023-03-10,3709377.54,3128543.35
2023-03-11,4071259.33,3576642.15
2023-03-12,4648354.47,4054037.16
2023-03-13,4968550.73,4340568.35
2023-03-14,5389452.8,4711221.8
2023-03-15,5422367.9,4730090.52
2023-03-16,5325747.69,4631799.89
2023-03-17,5105834.12,4426407.34
2023-03-18,5042191.66,4405574.46
2023-03-19,5316841.34,4685740.14
2023-03-20,5050315.85,4702655.54
2023-03-21,5235327.44,4990951.06
2023-03-22,5895192.51,5639916.82
2023-03-23,5809451.96,5513225.23
2023-03-24,5039516.71,4875701.47
2023-03-25,4976407.3,4914077.51
2023-03-26,5766432.19,5510754.34
2023-03-27,5935204.39,5782757.46
2023-03-28,5864177.56,5747019.31
2023-03-29,8622462.66,8536238.0334
2023-03-30,10758790.38,10503330.16
2023-03-31,8770968.92,8683259.2308
2023-04-01,8711468.62,8624353.933799999
2023-04-02,8355128.63,8141969.51
2023-04-03,5505885.29,5192733.46
2023-04-04,3883712.52,3672658.6
2023-04-05,4175905.21,3924355.04
2023-04-06,3299095.92,3059961.2
2023-04-07,3187724.47,3002423.23
2023-04-08,3765258.71,3660238.96
2023-04-09,4296377.27,4091976.92
2023-04-10,4171332.38,3930882.43
2023-04-11,4640897.09,4399590.16
2023-04-12,4760589.45,4506942.55
2023-04-13,4478612.25,4226922.47
2023-04-14,4991388.3,4655392.02
2023-04-15,5385454.73,4969343.39
2023-04-16,5415745.63,4843579.55
2023-04-17,4508003.03,3868343.35
2023-04-18,4651387.55,3905113.12
2023-04-19,5010085.85,4228732.3
2023-04-20,4094157.55,3401783.93
2023-04-21,4180764.14,3574632.75
2023-04-22,5152341.66,4490415.79
2023-04-23,5413517.11,4573809.2
2023-04-24,5166249.54,4277544.83
2023-04-25,5706253.98,4761853.55
