Date,Revenue,COGS
2023-01-01,2510271.66,2485168.9434
2023-01-02,1801037.55,1604033.4
2023-01-03,1105783.67,1094725.8332999998
2023-01-04,957576.37,745822.06
2023-01-05,991053.15,981142.6185
2023-01-06,1153563.77,1050189.48
2023-01-07,1009522.59,913526.93
2023-01-08,1255479.38,1151685.38
2023-01-09,1599831.83,1428590.44
2023-01-10,1665079.46,1601173.31
2023-01-11,1508741.26,1165929.57
2023-01-12,1169911.38,993655.74
2023-01-13,1402704.25,959816.71
2023-01-14,1233604.16,1014016.78
2023-01-15,1511247.64,1165682.81
2023-01-16,1753538.81,1594880.84
2023-01-17,1755457.66,1410278.52
2023-01-18,1814245.01,1609341.02
2023-01-19,1640339.75,1412848.86
2023-01-20,1597643.88,1160030.66
2023-01-21,1676612.08,1302433.22
2023-01-22,1852643.25,1447395.74
2023-01-23,1889254.25,1657647.98
2023-01-24,2152462.22,1737931.13
2023-01-25,2175488.31,1751675.89
2023-01-26,1862811.47,1655390.66
2023-01-27,2112458.99,1650844.28
2023-01-28,2682985.65,2117659.06
2023-01-29,3222606.2,2609029.72
2023-01-30,3202815.26,2650703.77
2023-01-31,3441035.72,2491327.23
2023-02-01,3360196.16,2497943.29
2023-02-02,2492008.07,1705922.06
2023-02-03,1678081.75,1208556.32
2023-02-04,1412443.36,1113554.46
2023-02-05,1573357.38,1140417.54
2023-02-06,1519923.48,958778.37
2023-02-07,1868576.05,1347200.63
2023-02-08,1708345.17,1216625.04
2023-02-09,1581462.11,1163880.03
2023-02-10,1824166.07,1370824.97
2023-02-11,2089651.22,1478980.63
2023-02-12,2485016.64,1807398.43
2023-02-13,2496174.25,1848987.05
2023-02-14,2569583.1,1997881.11
2023-02-15,2706814.99,2079113.66
2023-02-16,2314553.61,1793015.55
2023-02-17,2478101.48,1880067.89
2023-02-18,2408612.3,1658020.36
2023-02-19,2815383.04,2020945.49
2023-02-20,3171353.27,2319132.41
2023-02-21,3294221.26,2362178.92
2023-02-22,3099706.32,2375346.11
2023-02-23,3238897.23,2610778.63
2023-02-24,3037396.13,2328004.48
2023-02-25,4422035.64,3089573.27
2023-02-26,5429991.85,3955601.5
2023-02-27,5765792.08,4399856.73
2023-02-28,4824723.33,3520110.13
2023-03-01,4506033.11,3624332.27
2023-03-02,3188995.34,2298594.03
2023-03-03,1711130.79,934564.43
2023-03-04,2198892.98,1740326.36
2023-03-05,2423425.71,1645843.79
2023-03-06,3054198.31,2102621.78
2023-03-07,3524507.34,2498791.61
2023-03-08,3944105.22,2845666.58
2023-03-09,3535967.82,2580678.01
2023-03-10,3223924.45,2113889.71
2023-03-11,3528870.29,2699683.07
2023-03-12,3935561.88,2952437.95
2023-03-13,4181136.14,3080767.41
2023-03-14,4347491.05,3493081.57
2023-03-15,4666252.04,3641358.34
2023-03-16,4737886.51,3571366.17
2023-03-17,4260931.48,3089572.26
2023-03-18,4341208.28,3386137.59
2023-03-19,4268997.78,3184823.51
2023-03-20,4341029.35,3566320.23
2023-03-21,4292117.24,3551739.18
2023-03-22,4863078.11,4286625.73
2023-03-23,4776352.08,4069781.27
2023-03-24,3997840.69,3326903.72
2023-03-25,4157648.3,3593871.76
2023-03-26,4372373.43,3773257.88
2023-03-27,4428408.88,4346227.14
2023-03-28,4661351.85,4303081.1
2023-03-29,6880959.58,5868983.81
2023-03-30,9380331.49,8950168.54
2023-03-31,7862854.0,6980586.38
2023-04-01,8762643.21,8034308.82
2023-04-02,7975616.31,7367380.63
2023-04-03,5986333.04,5926469.7096
2023-04-04,3384980.66,2975951.36
2023-04-05,3863552.24,3561671.06
2023-04-06,2926493.98,2671949.6
2023-04-07,2746961.57,2474430.69
2023-04-08,3276764.89,3140501.52
2023-04-09,3461928.74,3296510.84
2023-04-10,3277943.88,3140720.67
2023-04-11,3675738.47,3638981.0853000004
2023-04-12,4249423.09,4032540.78
2023-04-13,4040707.84,3618018.34
2023-04-14,4289327.7,3890731.52
2023-04-15,4535133.33,4104592.4
2023-04-16,4449953.85,3967487.69
2023-04-17,4024842.01,3611770.85
2023-04-18,4290881.89,3596268.54
2023-04-19,4706314.89,3951794.93
2023-04-20,4009510.34,3206840.19
2023-04-21,3949270.79,3266475.64
2023-04-22,4572808.0,4029774.0
2023-04-23,4582963.03,3639524.94
2023-04-24,4582265.2,3851897.2
2023-04-25,5072686.29,4124716.98
2023-04-26,5396214.03,4586218.73
2023-04-27,4797876.78,3946087.7
2023-04-28,5686116.31,4437442.92
2023-04-29,6648762.18,5965991.51
2023-04-30,6620390.97,5298054.31
2023-05-01,5881752.48,4791334.74
2023-05-02,5952261.32,4617330.69
2023-05-03,5210167.72,4442688.39
2023-05-04,3271560.3,2807734.57
2023-05-05,2921485.59,2411595.02
2023-05-06,2958868.39,2478829.91
2023-05-07,3228249.84,2411154.18
2023-05-08,3113569.98,2436121.37
2023-05-09,3662543.97,2947042.02
2023-05-10,4121391.17,3385555.04
2023-05-11,4338213.17,3635640.06
2023-05-12,3746247.13,3132865.14
2023-05-13,3842704.96,3087302.52
2023-05-14,4309381.58,3632619.93
2023-05-15,4364361.53,3579726.52
2023-05-16,4369854.74,3607969.75
2023-05-17,5452826.0,4407110.24
2023-05-18,5591567.64,4859100.77
2023-05-19,3795953.51,3298004.25
2023-05-20,3495349.66,2778897.81
2023-05-21,4440539.99,3668132.89
