feature_set,fold,cutoff,horizon_days,rev_mae,rev_rmse,rev_r2,cogs_mae,cogs_rmse,cogs_r2
core_long,1,2018-12-31,548,934824.1792746739,1265457.715478419,0.44381119036235006,804137.5908997074,1096523.7807615136,0.446313654426827
core_long,2,2019-12-31,548,1063294.03528066,1573739.3140396446,0.19141037921173853,900167.878353225,1339914.5524887163,0.18716567824122976
core_long,3,2020-12-31,548,967529.5895407212,1370353.6821913342,0.3962228091934905,904363.1597609528,1254776.303748329,0.3397137307110565
core_long_plus_short,1,2018-12-31,548,1159039.5905202066,1609786.7811218041,0.09995611768842494,984403.4882305886,1362800.5530406532,0.14475152959328264
core_long_plus_short,2,2019-12-31,548,1047732.4676883997,1564677.3604552355,0.2006956593262037,885378.1858317016,1333464.0323456414,0.1949730170417876
core_long_plus_short,3,2020-12-31,548,939639.7003356594,1372263.0651024953,0.39453909057162084,876115.2022620974,1256670.3028931804,0.33771891225706285
core_long_plus_biz730,1,2018-12-31,548,1142483.3211055528,1585573.2034043507,0.12682847261380814,963667.9984012529,1331081.9404018044,0.18409933681787294
core_long_plus_biz730,2,2019-12-31,548,1090036.5179264348,1602186.2740788094,0.16191399680795304,925248.8012301315,1366473.6819950151,0.15462311489572977
core_long_plus_biz730,3,2020-12-31,548,1053398.9321017766,1497730.6423675746,0.27876168408402413,971800.1077928965,1361795.6237732128,0.22227955221916895
core_long_plus_biz730_1095,1,2018-12-31,548,1112890.2708540838,1531137.4250593933,0.18575459855994048,928197.8891598696,1267645.9662812187,0.2600137304221951
core_long_plus_biz730_1095,2,2019-12-31,548,1051448.4657162444,1561790.1177059442,0.20364279268864527,893294.9968031162,1333069.280110609,0.1954495790714076
core_long_plus_biz730_1095,3,2020-12-31,548,1053921.7591598174,1494154.9110429343,0.2822013892294255,978871.1666567681,1362969.1482301971,0.22093857682220908
all_valid,1,2018-12-31,548,1058071.9896367376,1445357.8182335915,0.27443266494299956,891326.6444268662,1217424.6967687532,0.31748544225237674
all_valid,2,2019-12-31,548,1022125.7950372263,1528726.9532973045,0.23700372180846196,867893.4453884052,1304465.1293312088,0.22960620931045195
all_valid,3,2020-12-31,548,1010964.4416886696,1456005.572003537,0.31838767591667383,941445.8514080287,1333484.1522583542,0.2542807286751466
