feature,importance_gain
yoy_365_730,5558
lag_1095,5192
roll7_std,5055
lag_364,4972
roll7_mean,4925
lag_366,4857
lag_730,4662
lag_365,4348
roll30_mean,4267
roll30_std,3827
trend_pred,3238
sin_m_2,2784
cos_m_2,2334
sin_y_4,2282
sin_y_2,2223
sin_y_3,2166
cos_y_3,2116
cos_y_4,1831
cos_m_1,1771
sin_m_1,1662
sin_w_2,1607
cos_y_2,1597
day,1588
cos_y_1,1564
sin_y_1,1529
trend_ratio_365,1486
dow,1370
doy,1261
cos_w_2,1170
cos_w_1,1063
sin_w_1,996
year,483
week,435
month,109
is_month_end,24
is_holiday,21
is_tet,16
is_weekend,14
is_tet_post,14
is_month_start,6
is_tet_pre,4
quarter,3
