feature,importance_gain
yoy_365_730,5381
lag_1095,5256
lag_366,5143
lag_364,5140
lag_730,4968
lag_365,4611
roll7_std,4532
roll7_mean,4335
trend_pred,3942
roll30_std,3523
roll30_mean,3454
sin_y_4,2929
sin_m_2,2767
sin_y_3,2763
cos_y_3,2580
cos_y_4,2411
sin_y_2,2314
cos_m_2,2053
sin_y_1,1877
cos_y_1,1670
dow,1641
day,1613
sin_m_1,1597
cos_y_2,1590
cos_m_1,1461
doy,1255
sin_w_2,1248
sin_w_1,1070
cos_w_1,968
cos_w_2,775
trend_ratio_365,601
week,466
year,355
month,121
is_tet,104
is_tet_post,57
is_weekend,37
is_holiday,31
is_month_end,29
is_month_start,8
quarter,1
is_tet_pre,1
