--- DANH SÁCH CASH COWS (SẢN PHẨM MỒI/VẮT SỮA) ---

 - HanoiStreet UC-28 | Tệp LTV: $38,002 | Bán ra: 9,531 cái | Lợi nhuận: $13,869,153
 - VietMotion UC-36 | Tệp LTV: $36,426 | Bán ra: 13,631 cái | Lợi nhuận: $12,448,468
 - SaigonFlex UM-92 | Tệp LTV: $35,255 | Bán ra: 30,355 cái | Lợi nhuận: $12,014,218
 - SaigonFlex UC-55 | Tệp LTV: $38,602 | Bán ra: 11,191 cái | Lợi nhuận: $10,523,220
 - UrbanVN UM-02 | Tệp LTV: $37,840 | Bán ra: 6,383 cái | Lợi nhuận: $10,088,007
 - MekongFit UM-06 | Tệp LTV: $36,298 | Bán ra: 6,976 cái | Lợi nhuận: $9,097,653
 - HanoiStreet UC-27 | Tệp LTV: $38,466 | Bán ra: 6,787 cái | Lợi nhuận: $8,316,443
 - UrbanVN UE-24 | Tệp LTV: $38,007 | Bán ra: 18,911 cái | Lợi nhuận: $7,923,508
 - VietMotion UC-35 | Tệp LTV: $36,853 | Bán ra: 8,537 cái | Lợi nhuận: $7,771,821
 - VietMotion UC-28 | Tệp LTV: $37,501 | Bán ra: 8,394 cái | Lợi nhuận: $7,628,604
 - HanoiStreet UC-53 | Tệp LTV: $35,259 | Bán ra: 7,226 cái | Lợi nhuận: $6,750,389
 - VietMotion RP-15 | Tệp LTV: $38,599 | Bán ra: 13,489 cái | Lợi nhuận: $6,056,001
 - HanoiStreet UC-30 | Tệp LTV: $36,408 | Bán ra: 7,064 cái | Lợi nhuận: $5,996,183
 - SaigonFlex UC-00 | Tệp LTV: $38,340 | Bán ra: 13,392 cái | Lợi nhuận: $5,994,455
 - SaigonFlex UC-13 | Tệp LTV: $37,482 | Bán ra: 10,096 cái | Lợi nhuận: $5,899,626
 - HanoiStreet YY-10 | Tệp LTV: $35,042 | Bán ra: 14,614 cái | Lợi nhuận: $5,811,117
