--- DANH SÁCH DOGS (SẢN PHẨM LỖI - XEM XÉT LOẠI BỎ) ---

 - HanoiStreet UC-62 | Tệp LTV: $36,814 | Bán ra: 370 cái | Lợi nhuận: $885,132
 - BambooCraft UC-13 | Tệp LTV: $37,938 | Bán ra: 233 cái | Lợi nhuận: $745,839
 - SaigonFlex UC-09 | Tệp LTV: $38,360 | Bán ra: 499 cái | Lợi nhuận: $697,744
 - UrbanVN YY-04 | Tệp LTV: $37,534 | Bán ra: 420 cái | Lợi nhuận: $609,690
 - SaigonFlex UC-48 | Tệp LTV: $31,956 | Bán ra: 443 cái | Lợi nhuận: $585,616
 - MekongFit MA-05 | Tệp LTV: $33,919 | Bán ra: 488 cái | Lợi nhuận: $514,439
 - SaigonFlex UC-67 | Tệp LTV: $32,509 | Bán ra: 345 cái | Lợi nhuận: $489,924
 - SaigonFlex UM-78 | Tệp LTV: $36,196 | Bán ra: 273 cái | Lợi nhuận: $489,489
 - SaigonFlex UC-31 | Tệp LTV: $36,774 | Bán ra: 483 cái | Lợi nhuận: $474,227
 - LotusWear UR-01 | Tệp LTV: $37,106 | Bán ra: 483 cái | Lợi nhuận: $434,758
 - LotusWear UM-02 | Tệp LTV: $35,208 | Bán ra: 245 cái | Lợi nhuận: $409,539
 - PhoenixWear UC-07 | Tệp LTV: $38,657 | Bán ra: 262 cái | Lợi nhuận: $399,879
 - SaigonCore YY-17 | Tệp LTV: $34,576 | Bán ra: 225 cái | Lợi nhuận: $381,570
 - DragonWear UM-35 | Tệp LTV: $35,359 | Bán ra: 351 cái | Lợi nhuận: $325,942
 - LotusWear UR-45 | Tệp LTV: $23,404 | Bán ra: 213 cái | Lợi nhuận: $303,766
 - MekongFit UE-33 | Tệp LTV: $36,991 | Bán ra: 214 cái | Lợi nhuận: $302,677
 - UrbanVN UR-29 | Tệp LTV: $34,572 | Bán ra: 285 cái | Lợi nhuận: $302,041
 - UrbanVN UR-08 | Tệp LTV: $38,115 | Bán ra: 432 cái | Lợi nhuận: $299,307
 - HanoiStreet UC-41 | Tệp LTV: $30,172 | Bán ra: 344 cái | Lợi nhuận: $295,439
 - SaigonCore RP-09 | Tệp LTV: $33,611 | Bán ra: 232 cái | Lợi nhuận: $295,233
 - BambooCraft UC-05 | Tệp LTV: $34,051 | Bán ra: 315 cái | Lợi nhuận: $292,249
 - MekongFit UC-22 | Tệp LTV: $35,827 | Bán ra: 265 cái | Lợi nhuận: $288,812
 - MekongFit RP-37 | Tệp LTV: $37,705 | Bán ra: 442 cái | Lợi nhuận: $287,215
 - LotusWear UE-87 | Tệp LTV: $33,618 | Bán ra: 145 cái | Lợi nhuận: $284,128
 - LotusWear UR-31 | Tệp LTV: $36,944 | Bán ra: 421 cái | Lợi nhuận: $280,859
 - VietMode MP-32 | Tệp LTV: $27,588 | Bán ra: 161 cái | Lợi nhuận: $271,971
 - VietMode RP-74 | Tệp LTV: $38,633 | Bán ra: 465 cái | Lợi nhuận: $266,272
 - UrbanVN UM-04 | Tệp LTV: $28,320 | Bán ra: 483 cái | Lợi nhuận: $261,373
 - DragonWear UE-16 | Tệp LTV: $38,508 | Bán ra: 159 cái | Lợi nhuận: $255,782
 - VietMode UE-06 | Tệp LTV: $37,822 | Bán ra: 189 cái | Lợi nhuận: $249,648
 - LotusWear UM-01 | Tệp LTV: $32,826 | Bán ra: 66 cái | Lợi nhuận: $242,295
 - MekongFit UR-13 | Tệp LTV: $34,261 | Bán ra: 134 cái | Lợi nhuận: $242,218
 - DragonWear UC-05 | Tệp LTV: $38,041 | Bán ra: 243 cái | Lợi nhuận: $240,040
 - UrbanVN UE-06 | Tệp LTV: $37,436 | Bán ra: 176 cái | Lợi nhuận: $232,513
 - SaigonCore YY-57 | Tệp LTV: $29,200 | Bán ra: 354 cái | Lợi nhuận: $223,682
 - HanoiStreet UC-61 | Tệp LTV: $32,642 | Bán ra: 119 cái | Lợi nhuận: $221,428
 - DragonWear UR-14 | Tệp LTV: $32,286 | Bán ra: 142 cái | Lợi nhuận: $220,667
