--- DANH SÁCH HIDDEN GEMS (KIM CƯƠNG ẨN - CẦN MARKETING) ---

 - SaigonFlex UM-99 | Tệp LTV: $51,356 | Bán ra: 513 cái | Lợi nhuận: $2,104,414
 - MekongStyle UC-13 | Tệp LTV: $61,375 | Bán ra: 363 cái | Lợi nhuận: $1,840,298
 - SaigonFlex UC-41 | Tệp LTV: $62,395 | Bán ra: 367 cái | Lợi nhuận: $1,741,685
 - SaigonFlex UM-08 | Tệp LTV: $48,499 | Bán ra: 309 cái | Lợi nhuận: $1,431,574
 - SaigonFlex UC-90 | Tệp LTV: $58,685 | Bán ra: 230 cái | Lợi nhuận: $1,424,731
 - SaigonFlex UM-24 | Tệp LTV: $53,474 | Bán ra: 346 cái | Lợi nhuận: $1,420,116
 - LotusWear UE-27 | Tệp LTV: $61,670 | Bán ra: 240 cái | Lợi nhuận: $1,392,642
 - BambooCraft UM-19 | Tệp LTV: $43,757 | Bán ra: 413 cái | Lợi nhuận: $1,321,210
 - HanoiStreet UC-11 | Tệp LTV: $44,086 | Bán ra: 504 cái | Lợi nhuận: $1,289,464
 - BambooCraft UC-16 | Tệp LTV: $46,823 | Bán ra: 450 cái | Lợi nhuận: $1,262,014
 - SaigonFlex UC-27 | Tệp LTV: $42,571 | Bán ra: 364 cái | Lợi nhuận: $1,235,338
 - MekongFit UC-16 | Tệp LTV: $38,971 | Bán ra: 439 cái | Lợi nhuận: $1,226,244
 - SaigonFlex UM-11 | Tệp LTV: $73,876 | Bán ra: 170 cái | Lợi nhuận: $1,221,415
 - SaigonFlex UM-41 | Tệp LTV: $49,835 | Bán ra: 387 cái | Lợi nhuận: $1,124,164
 - UrbanVN UC-15 | Tệp LTV: $45,477 | Bán ra: 422 cái | Lợi nhuận: $1,117,848
 - SaigonFlex UM-69 | Tệp LTV: $73,114 | Bán ra: 403 cái | Lợi nhuận: $1,101,778
 - SaigonFlex UC-02 | Tệp LTV: $60,586 | Bán ra: 338 cái | Lợi nhuận: $1,074,167
 - VietMotion UC-23 | Tệp LTV: $49,745 | Bán ra: 436 cái | Lợi nhuận: $1,018,069
 - SaigonFlex UE-03 | Tệp LTV: $44,921 | Bán ra: 467 cái | Lợi nhuận: $1,006,532
 - SaigonFlex UM-60 | Tệp LTV: $52,991 | Bán ra: 456 cái | Lợi nhuận: $993,492
 - SaigonFlex UC-20 | Tệp LTV: $41,839 | Bán ra: 438 cái | Lợi nhuận: $982,612
 - PhoenixWear MA-02 | Tệp LTV: $43,482 | Bán ra: 439 cái | Lợi nhuận: $982,234
 - SaigonCore UE-01 | Tệp LTV: $44,480 | Bán ra: 382 cái | Lợi nhuận: $966,940
 - SaigonFlex UM-84 | Tệp LTV: $58,325 | Bán ra: 413 cái | Lợi nhuận: $960,556
 - LotusWear UE-26 | Tệp LTV: $62,735 | Bán ra: 183 cái | Lợi nhuận: $954,154
 - HanoiStreet UC-21 | Tệp LTV: $48,374 | Bán ra: 317 cái | Lợi nhuận: $950,021
 - PhoenixWear UM-15 | Tệp LTV: $45,820 | Bán ra: 367 cái | Lợi nhuận: $945,649
 - LotusWear UR-33 | Tệp LTV: $41,375 | Bán ra: 408 cái | Lợi nhuận: $941,133
 - BambooCraft UM-04 | Tệp LTV: $51,002 | Bán ra: 307 cái | Lợi nhuận: $926,784
 - DragonWear UM-01 | Tệp LTV: $43,147 | Bán ra: 344 cái | Lợi nhuận: $920,373
 - LotusWear UR-18 | Tệp LTV: $51,222 | Bán ra: 278 cái | Lợi nhuận: $895,076
 - MekongFit UM-10 | Tệp LTV: $43,914 | Bán ra: 348 cái | Lợi nhuận: $879,216
 - VietMode MP-20 | Tệp LTV: $60,304 | Bán ra: 518 cái | Lợi nhuận: $878,260
 - SaigonCore UE-13 | Tệp LTV: $54,519 | Bán ra: 277 cái | Lợi nhuận: $860,361
 - SaigonFlex UC-23 | Tệp LTV: $51,785 | Bán ra: 414 cái | Lợi nhuận: $835,925
 - LotusWear UR-36 | Tệp LTV: $42,245 | Bán ra: 287 cái | Lợi nhuận: $796,998
 - SaigonFlex UE-13 | Tệp LTV: $48,678 | Bán ra: 422 cái | Lợi nhuận: $785,774
 - DragonWear UR-41 | Tệp LTV: $47,386 | Bán ra: 441 cái | Lợi nhuận: $776,184
 - PhoenixWear UE-10 | Tệp LTV: $46,046 | Bán ra: 514 cái | Lợi nhuận: $774,680
 - SaigonFlex UC-95 | Tệp LTV: $39,256 | Bán ra: 472 cái | Lợi nhuận: $771,138
 - LotusWear UE-20 | Tệp LTV: $63,767 | Bán ra: 278 cái | Lợi nhuận: $767,499
 - VietMotion UE-22 | Tệp LTV: $41,681 | Bán ra: 389 cái | Lợi nhuận: $763,817
 - PhoenixWear UE-01 | Tệp LTV: $42,269 | Bán ra: 287 cái | Lợi nhuận: $763,405
 - SaigonFlex UC-07 | Tệp LTV: $53,761 | Bán ra: 316 cái | Lợi nhuận: $759,107
 - MekongFit UM-02 | Tệp LTV: $47,306 | Bán ra: 515 cái | Lợi nhuận: $738,675
 - LotusWear UR-48 | Tệp LTV: $40,724 | Bán ra: 392 cái | Lợi nhuận: $737,895
 - HanoiStreet UC-13 | Tệp LTV: $61,535 | Bán ra: 163 cái | Lợi nhuận: $710,999
 - SaigonFlex UC-77 | Tệp LTV: $44,005 | Bán ra: 257 cái | Lợi nhuận: $706,680
 - SaigonFlex UE-06 | Tệp LTV: $45,636 | Bán ra: 312 cái | Lợi nhuận: $702,736
 - HanoiStreet UC-20 | Tệp LTV: $43,740 | Bán ra: 359 cái | Lợi nhuận: $689,372
 - LotusWear UM-05 | Tệp LTV: $49,481 | Bán ra: 228 cái | Lợi nhuận: $678,609
 - BambooCraft UM-09 | Tệp LTV: $48,062 | Bán ra: 192 cái | Lợi nhuận: $674,080
 - SaigonFlex UM-32 | Tệp LTV: $40,132 | Bán ra: 331 cái | Lợi nhuận: $665,091
 - VietMode RP-35 | Tệp LTV: $49,042 | Bán ra: 473 cái | Lợi nhuận: $660,184
 - VietMode RP-68 | Tệp LTV: $56,855 | Bán ra: 337 cái | Lợi nhuận: $656,720
 - VietMode MP-13 | Tệp LTV: $61,539 | Bán ra: 313 cái | Lợi nhuận: $637,504
 - SaigonFlex UM-05 | Tệp LTV: $39,466 | Bán ra: 434 cái | Lợi nhuận: $635,065
 - SaigonFlex UC-68 | Tệp LTV: $54,326 | Bán ra: 299 cái | Lợi nhuận: $613,187
