model,feature,mean_abs_shap,std_abs_shap,folds_present,mean_rank
ratio_recursive,ratio_lag_1,0.04473917279392481,0.0014861864285155145,4,1.0
ratio_recursive,ratio_ema_3,0.015886331908404827,0.001053548101133816,4,2.0
ratio_recursive,doy_sin,0.0026528299786150455,0.0007136861071805514,4,4.25
ratio_recursive,promo_stackable_prior,0.006735475384630263,0.004025577067925185,4,6.25
ratio_recursive,day_of_year,0.002601591346319765,0.0013978473147955204,4,6.25
ratio_recursive,ratio_lag_2,0.0020815162861254066,0.0004925052859842368,4,7.25
ratio_recursive,ratio_ema_7,0.001615436893189326,0.0003022970293224991,4,8.25
ratio_recursive,hist_month_aov_log1p,0.0016469388889769714,0.0003024610694092702,3,8.666666666666666
ratio_recursive,promo_active_prior,0.001587507635122165,0.00035535035124305324,4,9.25
ratio_recursive,year,0.0015825341833988205,0.00043481407751115933,4,9.75
ratio_recursive,ratio_roll_mean_7,0.0013775601983070374,8.135724706069311e-05,2,10.5
ratio_recursive,ratio_roll_mean_3,0.001706805604044348,0.0007793760319748297,4,11.25
ratio_recursive,recent_user_growth,0.0016365335031878203,0.0009871107700445071,4,11.25
ratio_recursive,doy_cos,0.0013591498136520386,8.687547053294827e-05,4,11.75
ratio_recursive,promo_discount_prior,0.0012008250487269834,0.00031648720128166344,4,13.0
ratio_recursive,ratio_lag_28,0.0012053734390065074,0.00011805902223659402,4,13.75
ratio_recursive,month_sin,0.0009914058027788997,,1,14.0
ratio_recursive,rev_roll_mean_14,0.001184255350381136,,1,15.0
ratio_recursive,ratio_lag_3,0.000948105938732624,0.00010755134877408676,2,15.0
ratio_recursive,ratio_lag_14,0.0009082714386750013,0.00017971629844663702,4,16.75
ratio_recursive,rev_lag_28,0.0009068382205441594,,1,18.0
ratio_recursive,ratio_lag_7,0.0008574106614105403,2.8550834783804646e-05,3,18.333333333333332
ratio_recursive,ratio_roll_mean_14,0.0008419521812659999,9.98377441985897e-05,3,18.666666666666668
ratio_recursive,rev_lag_14,0.0008473438210785389,,1,19.0
ratio_recursive,day_of_month,0.0008067332673817873,,1,19.0
ratio_recursive,ratio_roll_std_14,0.0007143954862840474,,1,19.0
ratio_recursive,days_to_month_end,0.0006857070839032531,,1,20.0
ratio_regime,event_traffic_interact,0.01354419020935893,0.0029011632932682335,4,1.0
ratio_regime,days_to_month_end,0.007658391026780009,0.0005882406418329755,4,2.75
ratio_regime,is_payday,0.006595324259251356,0.0020025766141989277,4,4.5
ratio_regime,day_of_year,0.0046128014218993485,0.0011308230637120775,4,6.25
ratio_regime,day_of_month,0.004597166436724365,0.0006517435113065673,4,6.25
ratio_regime,hist_month_orders_log1p,0.006666899076662958,0.004068270600438459,4,6.75
ratio_regime,doy_cos,0.0040384692256338894,0.0007037648187242211,4,6.75
ratio_regime,event_any,0.0033236854942515492,0.0009455301373913655,2,9.0
ratio_regime,doy_sin,0.003203045402187854,0.000500370684922681,4,9.5
ratio_regime,recent_user_growth,0.00461784932607164,0.004852357584804525,3,10.333333333333334
ratio_regime,cancel_rate_month_prior,0.002145267091691494,,1,11.0
ratio_regime,quarter_end_window,0.002004872774705291,,1,11.0
ratio_regime,event_service_interact,0.003491158092704912,0.002161235963541352,3,11.333333333333334
ratio_regime,refund_rate_month_prior,0.0025063122933109603,0.0016135902241980436,3,11.666666666666666
ratio_regime,hist_month_revenue_log1p,0.002421690820483491,0.0009417259300906189,4,11.75
ratio_regime,year,0.002883519104216248,0.002365639100908281,4,12.0
ratio_regime,conversion_stability_score,0.00208359572570771,0.0009809600060521591,4,13.0
ratio_regime,inventory_turnover_month_prior,0.0014678938314318657,,1,14.0
ratio_regime,is_even_year_august,0.0016247063758783042,0.0001642977340212078,4,14.25
ratio_regime,promo_pressure_score,0.0014392923718939226,0.0004183508880497325,3,15.0
ratio_regime,days_from_mend,0.0013243157300166786,0.0001102438903130376,2,15.5
ratio_regime,delivery_days_month_prior,0.001527071523014456,0.0008295878614507534,2,16.0
ratio_regime,traffic_engagement_month_prior,0.0014724817592650652,,1,16.0
ratio_regime,organic_efficiency_score,0.0012813078938052058,,1,17.0
