feature,mean_abs_shap
ratio_lag_1,0.043232396
ratio_ema_3,0.015777582
recent_user_growth,0.0070646983
ratio_roll_mean_3,0.0035671352
promo_stackable_prior,0.0032211146
doy_sin,0.0031970376
ratio_lag_2,0.003046041
day_of_year,0.0027785648
year,0.0023108074
promo_active_prior,0.0016246301
hist_month_aov_log1p,0.001572888
promo_discount_prior,0.0013235415
doy_cos,0.0013129802
ratio_roll_mean_7,0.0012949961
month_sin,0.0012048985
ratio_ema_7,0.0010897845
ratio_lag_28,0.0009137976
ratio_roll_mean_14,0.0008854744
ratio_lag_14,0.00077199447
rev_lag_14,0.0007662284
ratio_lag_7,0.0006339271
ratio_roll_std_7,0.000526576
day_of_month,0.00051826314
days_to_month_end,0.0005112234
rev_lag_1,0.00050853816
ratio_roll_std_14,0.00049921207
rev_roll_mean_14,0.0004364703
rev_lag_7,0.0004283182
ratio_rev_interact,0.0004218851
ratio_lag_3,0.00038875203
ratio_roll_std_3,0.0003883966
rev_lag_28,0.00034004793
promo_channel_div_prior,0.00032679367
hist_month_revenue_log1p,0.00028772207
week_of_year,0.00023538464
month_cos,0.00023052191
hist_dow_aov_log1p,0.00017586339
dow_sin,0.00013042364
hist_month_orders_log1p,0.00011683095
day_of_week,0.00011508255
month,0.00010981579
is_even_year_august,6.2793035e-05
dow_cos,6.207242e-05
days_from_mend,4.965258e-05
hist_dow_revenue_log1p,3.7616875e-05
hist_dow_orders_log1p,2.70375e-05
promo_payday_interact,1.3714461e-05
promo_weekend_interact,1.0721451e-05
is_payday,8.0068785e-06
is_weekend,5.4107986e-06
days_in_month,2.8176776e-06
is_post_2019,2.5444333e-06
is_mega_1111,0.0
is_mega_1212,0.0
is_last3,0.0
is_last1,0.0
is_first7,0.0
is_first3,0.0
is_month_end,0.0
quarter,0.0
is_month_start,0.0
is_last7,0.0
is_odd_year_august,0.0
promo_mega1111_interact,0.0
promo_odd_august_interact,0.0
payday_last7_interact,0.0
promo_mega1212_interact,0.0
