feature,mean_abs_shap
event_traffic_interact,0.010899833
year,0.009314345
recent_user_growth,0.008552733
is_payday,0.007687055
hist_month_orders_log1p,0.006649077
days_to_month_end,0.0062444927
day_of_month,0.005609897
promo_pressure_score,0.004389097
doy_sin,0.0034340175
day_of_year,0.0032998654
event_service_interact,0.0030169268
doy_cos,0.0025393215
shipping_fee_month_prior,0.0023597088
conversion_stability_score,0.0020745164
hist_month_revenue_log1p,0.002035569
refund_rate_month_prior,0.0016278888
is_even_year_august,0.0015518792
month_cos,0.0014751159
days_from_mend,0.0014177882
promo_payday_interact,0.0013622012
week_of_year,0.0011254321
event_any,0.0010099775
event_urban_blowout_2013,0.0008579852
promo_stackable_prior,0.00083125447
traffic_sessions_log1p_month_prior,0.00078095443
inventory_fill_rate_month_prior,0.0007473667
promo_q3_interact,0.0007261559
organic_efficiency_score,0.0007087924
event_inventory_interact,0.00058876054
hist_month_aov_log1p,0.0005048121
cancel_rate_month_prior,0.0004210624
promo_inventory_interact,0.00039863263
gross_margin_month_prior,0.00035459554
is_month_start,0.00030142185
traffic_bounce_month_prior,0.00021469568
review_count_log1p_month_prior,0.00019549813
promo_share_month_prior,0.0001845223
commercial_quality_score,0.00017736878
traffic_quality_score,0.00013257496
promo_discount_prior,0.00012474772
is_first7,0.00010358702
promo_quality_gap,0.00010224764
quarter_pressure_score,9.016601e-05
inventory_stockout_month_prior,8.339755e-05
return_rate_month_prior,8.213268e-05
is_odd_year_august,7.747254e-05
event_urban_blowout_2015,7.022867e-05
month_sin,6.252396e-05
traffic_engagement_month_prior,6.125246e-05
avg_rating_month_prior,4.14837e-05
promo_service_interact,3.0172927e-05
dow_cos,2.6477748e-05
dow_sin,2.6316748e-05
promo_active_prior,2.4741268e-05
inventory_overstock_month_prior,2.2558339e-05
hist_dow_revenue_log1p,2.1755277e-05
is_post_2019,2.1742655e-05
event_spring_sale_2015,1.8184508e-05
month_end_pressure,1.7674387e-05
event_spring_sale_2013,1.669861e-05
event_fall_launch_2022,1.35438095e-05
day_of_week,1.0157618e-05
event_year_end_sale_2013,9.932407e-06
days_in_month,9.508695e-06
event_rural_special_2013,6.6568914e-06
promo_weekend_interact,5.7362213e-06
hist_dow_aov_log1p,3.7201944e-06
hist_dow_orders_log1p,3.2987105e-06
quarter,1.8245917e-06
event_fall_launch_2014,1.8176098e-06
is_last3,0.0
is_last1,0.0
is_first3,0.0
is_month_end,0.0
month,0.0
is_weekend,0.0
is_mega_1111,0.0
is_last7,0.0
event_fall_launch_2017,0.0
event_fall_launch_2016,0.0
promo_mega1111_interact,0.0
promo_mega1212_interact,0.0
promo_channel_div_prior,0.0
is_mega_1212,0.0
event_spring_sale_2021,0.0
event_spring_sale_2022,0.0
event_spring_sale_2019,0.0
event_spring_sale_2020,0.0
event_spring_sale_2018,0.0
event_spring_sale_2017,0.0
event_spring_sale_2014,0.0
event_spring_sale_2016,0.0
event_rural_special_2017,0.0
event_rural_special_2015,0.0
event_rural_special_2019,0.0
event_rural_special_2021,0.0
event_mid_year_sale_2019,0.0
event_mid_year_sale_2020,0.0
event_mid_year_sale_2021,0.0
event_mid_year_sale_2022,0.0
event_fall_launch_2019,0.0
event_mid_year_sale_2014,0.0
event_mid_year_sale_2013,0.0
event_fall_launch_2021,0.0
event_mid_year_sale_2017,0.0
event_mid_year_sale_2018,0.0
event_mid_year_sale_2016,0.0
event_mid_year_sale_2015,0.0
event_fall_launch_2018,0.0
event_fall_launch_2020,0.0
promo_odd_august_interact,0.0
payday_last7_interact,0.0
event_fall_launch_2013,0.0
event_fall_launch_2015,0.0
event_year_end_sale_2017,0.0
event_year_end_sale_2016,0.0
discount_rate_month_prior,0.0
traffic_conversion_month_prior,0.0
traffic_unique_visitors_log1p_month_prior,0.0
q2_flag,0.0
q3_flag,0.0
q4_flag,0.0
quarter_end_window,0.0
quarter_start_window,0.0
odd_august_sale_interact,0.0
q1_flag,0.0
event_year_end_sale_2018,0.0
event_year_end_sale_2019,0.0
event_year_end_sale_2021,0.0
event_year_end_sale_2020,0.0
event_year_end_sale_2022,0.0
promo_q4_interact,0.0
event_urban_blowout_2021,0.0
event_urban_blowout_2019,0.0
event_year_end_sale_2015,0.0
event_year_end_sale_2014,0.0
event_urban_blowout_2017,0.0
delivery_days_month_prior,0.0
inventory_turnover_month_prior,0.0
inventory_dos_month_prior,0.0
inventory_stress_score,0.0
traffic_depth_score,0.0
service_friction_score,0.0
inventory_service_gap,0.0
traffic_inventory_balance,0.0
odd_august_pressure_score,0.0
odd_august_inventory_gap,0.0
odd_august_turnover_gap,0.0
