feature,mean_abs_shap
rev_lag_1,0.27555066
rev_lag_7,0.054403003
rev_ema_3,0.05105486
days_to_month_end,0.04185976
day_of_month,0.037448745
rev_lag_28,0.033212192
rev_lag_14,0.032252762
doy_sin,0.028071228
recent_user_growth,0.025516083
doy_cos,0.012623194
rev_roll_mean_3,0.009222937
day_of_year,0.008952446
rev_roll_mean_7,0.008149184
hist_dow_aov_log1p,0.008112053
rev_roll_std_3,0.00808287
hist_dow_revenue_log1p,0.007785337
days_from_mend,0.007743985
rev_lag_2,0.007166929
is_payday,0.0067013963
rev_roll_std_14,0.0064950935
day_of_week,0.00559776
hist_month_orders_log1p,0.0053871023
rev_ema_7,0.004797408
dow_cos,0.0047445293
rev_lag_3,0.0046262518
rev_roll_std_7,0.00396688
dow_sin,0.0035823197
rev_roll_mean_14,0.003533369
hist_month_revenue_log1p,0.00336941
year,0.00335031
is_odd_year_august,0.0027120975
is_even_year_august,0.0026579923
month_cos,0.002270427
hist_month_aov_log1p,0.002120073
week_of_year,0.0020265605
promo_active_prior,0.0018163348
promo_payday_interact,0.0015507743
promo_discount_prior,0.0012904926
month_sin,0.0012397851
is_month_start,0.0012392721
days_in_month,0.0010744127
is_first7,0.0010241146
promo_stackable_prior,0.0009581526
promo_weekend_interact,0.00078097417
month,0.00053858996
is_post_2019,0.00047861604
hist_dow_orders_log1p,0.00039069678
is_weekend,0.00029852107
is_first3,0.0002905614
quarter,0.00010985808
promo_channel_div_prior,0.00010587789
is_month_end,0.0
is_mega_1111,0.0
is_last7,0.0
is_last3,0.0
is_mega_1212,0.0
is_last1,0.0
promo_odd_august_interact,0.0
promo_mega1212_interact,0.0
promo_mega1111_interact,0.0
payday_last7_interact,0.0
