feature,mean_abs_shap
year,0.19211966
recent_user_growth,0.038640898
is_post_2019,0.026433846
day_of_week,0.021124095
event_service_interact,0.014717695
is_odd_year_august,0.013380214
hist_dow_revenue_log1p,0.010998556
doy_cos,0.0084799705
is_even_year_august,0.006738653
day_of_month,0.0067021274
days_to_month_end,0.0051648784
event_urban_blowout_2013,0.004756035
day_of_year,0.0047011115
commercial_quality_score,0.004547114
doy_sin,0.004545089
traffic_engagement_month_prior,0.0044597015
dow_cos,0.003919931
hist_dow_orders_log1p,0.0033910421
dow_sin,0.0033436464
promo_service_interact,0.0031835698
event_spring_sale_2014,0.002543629
hist_dow_aov_log1p,0.0021546967
inventory_stockout_month_prior,0.0020260606
promo_pressure_score,0.0018845643
week_of_year,0.0018585889
hist_month_orders_log1p,0.0018220572
days_from_mend,0.0018144927
promo_discount_prior,0.0015345277
is_payday,0.0015194915
shipping_fee_month_prior,0.0014608413
hist_month_revenue_log1p,0.0014473496
days_in_month,0.0011370775
event_year_end_sale_2014,0.0010561964
promo_payday_interact,0.0010033845
event_inventory_interact,0.0009759821
promo_stackable_prior,0.0009487762
return_rate_month_prior,0.0009452514
month_sin,0.0007501539
quarter_start_window,0.0007457005
promo_inventory_interact,0.0007120361
event_traffic_interact,0.0007016214
service_friction_score,0.0006908551
traffic_bounce_month_prior,0.0006512081
promo_quality_gap,0.0005919572
event_year_end_sale_2013,0.00051167293
event_year_end_sale_2022,0.0005099976
month,0.0005012641
promo_share_month_prior,0.00050024915
event_spring_sale_2016,0.0004780813
organic_efficiency_score,0.00047085402
event_fall_launch_2013,0.00042813076
traffic_depth_score,0.00042174815
event_any,0.00039113883
promo_weekend_interact,0.0003768965
odd_august_sale_interact,0.00036478892
event_year_end_sale_2016,0.00034963264
conversion_stability_score,0.00033768444
quarter_pressure_score,0.00033118526
inventory_fill_rate_month_prior,0.0003188572
discount_rate_month_prior,0.00031574717
month_cos,0.00031265235
cancel_rate_month_prior,0.00029291838
promo_active_prior,0.00028773444
refund_rate_month_prior,0.0002768189
promo_q3_interact,0.00027220923
inventory_turnover_month_prior,0.00026964713
is_mega_1212,0.00023516435
event_spring_sale_2013,0.00017596882
event_fall_launch_2016,0.00015281593
traffic_sessions_log1p_month_prior,0.00015262276
odd_august_pressure_score,0.00012754199
promo_mega1212_interact,0.00012354035
traffic_conversion_month_prior,0.00012139584
hist_month_aov_log1p,0.00011451996
event_fall_launch_2017,0.00011265665
inventory_overstock_month_prior,0.00010420093
avg_rating_month_prior,9.7246695e-05
event_fall_launch_2022,8.945597e-05
event_mid_year_sale_2013,7.169717e-05
delivery_days_month_prior,6.379297e-05
event_urban_blowout_2015,4.4979406e-05
event_rural_special_2015,4.4831053e-05
event_year_end_sale_2018,3.861522e-05
event_year_end_sale_2015,3.422951e-05
event_fall_launch_2014,3.3815755e-05
event_fall_launch_2015,3.3804492e-05
inventory_dos_month_prior,3.1648688e-05
event_rural_special_2013,2.7590895e-05
event_year_end_sale_2020,2.059547e-05
quarter_end_window,9.598924e-06
is_mega_1111,0.0
is_last7,0.0
quarter,0.0
is_weekend,0.0
is_last3,0.0
is_last1,0.0
is_first7,0.0
is_first3,0.0
is_month_end,0.0
is_month_start,0.0
event_fall_launch_2019,0.0
event_mid_year_sale_2014,0.0
event_fall_launch_2020,0.0
event_fall_launch_2021,0.0
event_fall_launch_2018,0.0
event_mid_year_sale_2015,0.0
event_mid_year_sale_2016,0.0
promo_mega1111_interact,0.0
promo_channel_div_prior,0.0
promo_odd_august_interact,0.0
payday_last7_interact,0.0
event_mid_year_sale_2017,0.0
event_mid_year_sale_2019,0.0
event_mid_year_sale_2020,0.0
event_mid_year_sale_2021,0.0
event_mid_year_sale_2022,0.0
event_spring_sale_2021,0.0
event_spring_sale_2022,0.0
event_spring_sale_2019,0.0
event_spring_sale_2020,0.0
event_spring_sale_2018,0.0
event_spring_sale_2017,0.0
event_rural_special_2017,0.0
event_spring_sale_2015,0.0
event_rural_special_2019,0.0
event_rural_special_2021,0.0
event_mid_year_sale_2018,0.0
event_urban_blowout_2017,0.0
event_year_end_sale_2021,0.0
event_year_end_sale_2019,0.0
event_urban_blowout_2019,0.0
event_urban_blowout_2021,0.0
gross_margin_month_prior,0.0
traffic_unique_visitors_log1p_month_prior,0.0
q4_flag,0.0
q3_flag,0.0
q2_flag,0.0
q1_flag,0.0
month_end_pressure,0.0
promo_q4_interact,0.0
event_year_end_sale_2017,0.0
inventory_stress_score,0.0
review_count_log1p_month_prior,0.0
traffic_quality_score,0.0
traffic_inventory_balance,0.0
inventory_service_gap,0.0
odd_august_inventory_gap,0.0
odd_august_turnover_gap,0.0
